Nationality
NULL
Afghan
Alaskan
Albanian
Algerian
Alsation
American
Angolan
Arabian
Argentine
Argentinean
Argentinian
Armenian
Australian
Austrian
Austro-Hungarian
Azorean
Bahamian
Bangladeshi
Barbadian
Bavarian
Beijing
Belarusian
Belgian
Belgian Congolese
Belizean
Beninese
Bermudan
Bermudian
Bohemian
Bolivian
Bolognese
Bosnian
Botswanan
Brazilian
British
Bulgar
Bulgarian
Burmese
Byzantine
Cambodian
Cameroonian
Canadian
Carthaginian
Catalan
Celyonese
Ceylonese
Chilean
Chinese
Colombian
Columbian
Congolese
Corsican
Costa Rican
Croatian
Cuba
Cuban
Cyprian
Czech
Czechoslovakian
Danish
Dominican
Dutch
East Indian
Ecuadoran
Ecuadorian
Egyptian
El Salvadoran
English
Eritrean
Estonian
Ethiopian
European
Fiji Islander
Filipino
Finnish
Flemish
Florentine
French
Gambian
Georgian
German
Germany
Ghanaian
Ghanian
Greek
Greenlander
Guatemalan
Guyanese
Haitian
Hawaiian
Honduran
Hongkonger
Hungarian
Icelander
Icelandic
IItalian
India
Indian
Indonesian
International
Irani
Iranian
Iraqi
Ireland
Irish
Israeli
Italian
Ivorian
Jamaican
Japan
Japanese
Javanese
Kenyan
Korean
Kuwaiti
Laotian
Latin
Latin American
Latvian
Lebanese
Liechtensteiner
Lithuanian
Luxembourger
Macedonian
Malawian
Malaysian
Malian
Maltese
Manchurian
Martinican
Mauritian
Métis
Mexican
Mohawk
Moldavian
Monacan
Montenegrin
Moravian
Moroccan
Morroccan
Mozambican
Namibian
Native American
Navajo
Nepalese
Netherlandish
New York
New Zealander
Nicaraguan
Nigerian
Norwegian
Pacific Islander
Pakistani
Palestinian
Panamanian
Paraguayan
Persian
Peruvian
Philippine
Polish
Portuguese
Prussian
Puerto Rican
Roman
Romanian
Russian
Russian(?)
Salvadoran
Samoan
Saudi
Scotish
Scottish
Senegalese
Serbian
Siamese
Sicilian
Sierra Leonese
Singaporean
Slovak
Slovakian
Slovene
Slovenian
Somalian
South African
South American
South Korean
Soviet
Spanish
Sri Lankan
Sudanese
Swazi
Swedish
Swedisih
Swiss
Switss
Syrian
Taiwanese
Tajik
Tanzanian
Tartar
Tasmanian
Thai
Tiawanese
Tibetan
Timorese
Transylvanian
Trinidadian
Tunisian
Turkish
Turkmen
Ugandan
Ukrainian
Ukranian
United States
Uruguayan
USA
Uzbeck
Venetian
Venezuelan
Vietnamese
Vincentian
Welsh
Yemeni
Yugoslavian
Zanzibarian
Zimbabwean
