ID,Term
1,Albumen Silver Print
1,Ambrotype
1,Autochrome
1,Calotype
1,Carbon Print
1,Chromogenic Print
1,Cliché verre
1,Cyanotype
1,Daguerreotype
1,Dye Diffusion Transfer Print
1,Gelatin Silver Print
1,Photogravure
1,Photolithograph
1,Platinum Print
1,Salted Paper Print
1,Stereoscopic Photograph
1,Tintype
1,Woodburytype
