1826,Felix A. Raymer,1
1827,Harry Morey Callahan,1
1828,Paul Caponigro,1
1829,Lucien Clergue,1
1830,Linda Connor,1
1831,Joe Deal,1
1832,Robert Doisneau,1
1833,Barbara Drucker,1
1834,Wilton S. Tifft,1
1835,Margaretta K. Mitchell,1
1836,Claude-Joseph-Désiré Charnay,1
1837,Ellen McMahon,1
1838,Susan Wides,1
1840,Elgin R. Shepard,1
1844,Adolphe Braun,1
1846,Edward Sheriff Curtis,1
1847,Dinanda H. Nooney,1
1848,Rosalie Gwathmey,1
1849,Brady's National Portrait Gallery,2
1850,Friedrich Bruckmann,1
1852,Collection Classique,2
1853,Franz Seraph Hanfstaengl,1
1856,Charles Jacotin,1
1857,George Kirchner & Co.,2
1858,Chester A. Lawrence,1
1859,Librairie Nilsson,2
1860,William Luks,1
1861,M. F. Phillips,1
1862,Charles L. Ritzmann,1
1863,E. H. Schroeder,1
1864,Stereoscopic Company, Ltd.,2
1865,Sophus Williams,1
1866,Ziégler & Cie,2
1867,Joseph J. Ciarlo,1
1868,N. E. Maceo y Hno.,2
1870,Andrea Modica,1
1871,John Burton & Sons,2
1872,Elliott & Fry,2
1873,George & Rebecca Lavis,2
1874,Burton Berinsky,1
1875,Héctor Rondón Lovera,1
1876,David Hume Kennerly,1
1877,Goodwin & Co. [New York, NY],2
1879,James Edward Purdy,1
1881,Charles H. James,1
1882,George Louis Patterson,1
1883,William Emmet Patterson,1
1885,Dimmers' Photo Studio,2
1887,Charles Pratt,1
1888,Daniel Libens,1
1889,Smith [New Haven, CT)],2
1890,Alexandre Bougault Sr.,1
1891,Kay Simmon Blumberg,1
1892,Michael Wayne Meads,1
1893,Flavia Robinson,1
1895,Felice Beato,1
1896,William Pryor Floyd,1
1897,Lenke Szilagyi,1
1898,Imre Benko,1
1899,Jessie Tarbox Beals,1
1900,John George Brill,1
1901,Joel Peter Sternfeld,1
1902,Karin Székessy,1
1903,Friedrich Pustet,1
1904,Ernest C. Youens,1
1908,Leopold Harzé,1
1911,Paula Wright,1
1912,Germaine Kellerman,1
1913,William Howard Case,1
1914,Alfred Horsley Hinton,1
1916,Shawn Walker,1
1919,Margalit Mannor,1
1920,Römmler & Jonas,2
1923,Oscar Krämer,1
1925,Jack A. Partington,1
1926,David Scheinbaum,1
1928,David Vestal,1
1929,Walker Evans,1
1930,Eadweard James Muybridge,1
1931,Marianne Engberg,1
1932,John Goodman,1
1933,John C. Taylor,1
1934,John Noone,1
1936,A. C. Champagne,1
1937,William L. Bates,1
1938,Chaplain Thomas J. Dickson,1
1939,Clarence Kennedy,1
1940,Frederick Gutekunst,1
1941,Helen Levitt,1
1942,Gordon B. Church,1
1943,Lorna Bieber,1
1944,Gene Bagnato,1
1946,Jonathan Allen,1
1947,Bradley & Rulofson,2
1949,Joseph Gaylord Gessford,1
1950,Marguerite W. Stoddard,1
1951,Headley & Reed,2
1952,E. G. Clements,1
1953,Newsboy,2
1954,Century Association [New York, N.Y.],2
1955,Lewis Morris Rutherfurd,1
1958,Gustaf Niles Adolf Nordenskiöld,1
1959,Louis Jacques Mandé Daguerre,1
1961,Albert Fernique,1
1962,Allen Ginsberg,1
1963,Read-Stroop Drug Co.,2
1965,Edward Augustus Bromley,1
1966,Northern Pacific Railroad Co.,2
1967,Jack Ellis Haynes,1
1968,Lee Moorhouse,1
1969,Hugo E. Schwichtenberg,1
1971,Dorothea Lange,1
1972,Arthur Mineyard Teakell,1
1973,Ernest H. Dewey,1
1974,Jasper G. Ewing,1
1976,Douglas Leigh,1
1977,Eugene Stamm,1
1978,Art Specialty Co.,2
1979,Xenophon O. Howe,1
1980,Lighty Photo Company,2
1981,Hippolyte Arnoux,1
1982,Joel Greenberg,1
1983,Edward Jean Steichen,1
1984,Lewis Wickes Hine,1
1985,Edward Henry Weston,1
1986,Bruce Davidson,1
1987,Robert Adams,1
1988,Jesse Alexander,1
1989,Morley Baer,1
1990,Lewis Baltz,1
1991,Bruce Barnbaum,1
1992,Ruth Bernhard,1
1994,Marilyn Bridges,1
1995,Wynn Bullock,1
1996,Dr. Harold Eugene Edgerton,1
1997,Elliott Erwitt,1
1998,Don Farber,1
1999,Gary Leon Faye,1
2000,Jo Alison Feiler,1
2001,Susan Felter,1
2002,Jeff Gates,1
2003,Goodwin Harding,1
2004,Erich Hartmann,1
2005,Evelyn Hofer,1
2006,Eikoh Hosoe,1
2007,Yasuhiro Ishimoto,1
2008,Christopher James,1
2009,Pirkle Jones,1
2010,Barbara Kasten,1
2011,Michael Kenna,1
2012,Nathan Bernard Lerner,1
2013,Nancy Lloyd,1
2014,Mary Ellen Mark,1
2015,Roger Marshutz,1
2016,Tom Millea,1
2017,Doug Muir,1
2018,Barbara Norfleet,1
2019,Jenny Okun,1
2020,Arthur Ollman,1
2021,Ted Orland,1
2022,Don Ornitz,1
2023,Olivia Parker,1
2024,Doug Prince,1
2025,Cathy Raff,1
2026,Irene Ray,1
2027,Terry Reed,1
2028,Jan Saudek,1
2029,Eugene Richards,1
2030,Herb Ritts,1
2031,Alan Ross,1
2032,Eva Rubinstein,1
2033,Linda Robbennolt,1
2034,John Sexton,1
2035,Ron Starr,1
2036,Sandra Tasca,1
2037,Reed Thomas,1
2038,George A. Tice,1
2039,Arthur Tress,1
2040,Catherine Wagner,1
2041,Melanie J. Walker,1
2042,Brett Weston,1
2043,Minor White,1
2044,Huntington Witherill,1
2045,Marion Post Wolcott,1
2046,Penny Diane Wolin,1
2047,Don Worth,1
2048,Lou Jacobs Jr.,1
2049,Judy Dater,1
2050,Willard Ames Van Dyke,1
2051,Linda Rich,1
2052,Anne W. Brigman,1
2053,Ansel Adams,1
2054,Brassaï,1
2055,James Edward Abbe,1
2056,Henry Gilpin,1
2058,Vilem Kriz,1
2059,Paul Strand,1
2060,Robert Adamson,1
2061,Julia Margaret Cameron,1
2062,Rev. Charles Lutwidge Dodgson,1
2063,Peter Henry Emerson,1
2064,Frederick Henry Evans,1
2065,Roger Fenton,1
2066,Lady Clementina Hawarden,1
2067,David Octavius Hill,1
2068,Robert Howlett,1
2069,Oscar Gustav Rejlander,1
2070,William Henry Fox Talbot,1
2071,Benjamin Brecknell Turner,1
2072,Faye Godwin,1
2073,Margaret F. Boughton,1
2074,Winston Boyer,1
2075,Jo Ann Callis,1
2076,Augustin Victor Casasola,1
2077,Jerry Cooke,1
2078,William Ashford Garnett,1
2079,Roy DeCarava,1
2080,Baron Adolphe De Meyer,1
2081,Jay Dusard,1
2082,Wilma Ervin,1
2083,Arthur Freed,1
2084,Chris Gulker,1
2085,Hiroshi Hamaya,1
2086,Wanda Lee Hammerbeck,1
2087,Fritz Henle,1
2088,Philip J. Hyde,1
2089,Andrea Jennison,1
2090,Les Krims,1
2091,Charles E. Manley,1
2092,Wayne Forest Miller,1
2093,William Mortensen,1
2094,Greg O'Loughlin,1
2095,Marion Louise Patterson,1
2096,Sylvia Plachy,1
2097,Leland Rice,1
2100,Harry A. Smith,1
2101,Eve Arnold,1
2102,Jill Freedman,1
2103,Ernst Haas,1
2104,André Kertész,1
2105,Duane Michals,1
2106,Inge Morath,1
2107,Neal Slavin,1
2108,James Van Der Zee,1
2109,Jerry N. Uelsmann,1
2110,Stephen Von Seeger,1
2111,James Deane,1
2112,Pepe Diniz,1
2113,Dana B. Merrill,1
2115,Peter Britt,1
2116,Publisher's Photo Service,2
2118,Jim Dow,1
2119,William R. Brooks,1
2120,Schuyler U. Bunnell,1
2121,Tomer J. Hileman,1
2122,Vivian Ronay,1
2123,Dena,1
2124,Marion Faller,1
2125,James Klukkert,1
2126,Russell Munson,1
2127,Leonard Speier,1
2128,Harvey Zipkin,1
2129,E. Willard Spurr,1
2130,Michel Berthaud,1
2131,Rudolph Eickemeyer Jr.,1
2132,Robert Mahon,1
2133,Lilian Caruana,1
2134,Mittet & Co.,2
2135,Richard Misrach,1
2136,Bruno Barbey,1
2137,John Ruskin,1
2138,Brian Graham,1
2140,William A. Lucas,1
2141,John K. Hillers,1
2143,Frutkoff & Horn,2
2144,Charles Eiseman,1
2145,Anton Refregier,1
2146,Mabel Thérèse Bonney,1
2147,Rodney Stokes,1
2148,Alvin Langdon Coburn,1
2149,Harry A. Fogg,1
2150,Kaufmann-Fabry,2
2152,Bliss Bros.,2
2153,Harry O. Wilks,1
2154,Keystone View Co.,2
2156,Harvey Stein,1
2157,Garry Winogrand,1
2160,Joan Roth,1
2161,Camilo Jose Vergara,1
2162,Joel D. Levinson,1
2163,Salvation Army Studio,2
2164,Philip Meadows Taylor,1
2167,G. W. Curtiss,1
2169,Ernest James Bellocq,1
2170,Francis Frith & Co.,2
2171,Morris Engel,1
2172,Samuel Bourne,1
2173,Tina Barney,1
2174,Sarah Charlesworth,1
2175,Alfredo Jaar,1
2176,Frank Majore,1
2177,McDermott & McGough,2
2178,Thomas Ruff,1
2179,Andres Serrano,1
2180,Jeff Wall,1
2181,James Welling,1
2182,Joel-Peter Witkin,1
2184,Jan Groover,1
2185,Annette Lemieux,1
2186,Richard Prince,1
2187,Cindy Sherman,1
2188,Bruce Weber,1
2189,William Wegman,1
2190,Roger Minick,1
2191,Nathan Lyons,1
2192,Elaine Mayes,1
2193,Henry Wessel Jr.,1
2194,Harold Henry Jones,1
2195,Tod Papageorge,1
2196,Jim Alinder,1
2197,Robbert F. Flick,1
2198,Barbara Crane,1
2199,Steve Fitch,1
2200,Michael Becotte,1
2201,Michael Bishop,1
2202,Ken Brown,1
2203,Robert Whitten Fichter,1
2204,Victor Landweber,1
2205,Barbara Jo Revelle,1
2206,Robert A. Widdicombe,1
2209,Emma J. Farnsworth,1
2210,Edward Bailey Eaton,1
2211,Norddeutscher Lloyd,1
2212,Eugène Atget,1
2213,Brown Bros.,2
2214,George Gilbert,1
2215,Johnston & Hoffmann,2
2216,Ranger & Austen,2
2217,Herman Landshoff,1
2218,Steve Albahari,1
2220,Robinson & Churchman,2
2221,Central Photo Parlors,2
2222,Colombus W. Motes,1
2223,William H. Potter,1
2224,James S. Cummins,1
2225,Charles Milton Bell,1
2226,Cherrington & Bros.,2
2228,John C. H. Grabill,1
2229,Man Ray,1
2230,Albert J. Naegeli,1
2231,Alfred Cox,1
2232,Richard Henry Smith,1
2233,Andries Jager,1
2234,Brewster Co.,2
2235,Christopher Braun,1
2236,G. Solis,1
2237,Hills & Saunders,2
2239,Owen A. Eames,1
2241,Charles C. Cook,1
2242,Pettibone Bros. Manufacturing Co.,2
2244,F. Bedrich Grunzweig,1
2245,Wilhelm Photo Studio,2
2248,Bisson Frères,2
2250,Jeffrey Wolin,1
2251,Edward Daniel Macfee Jr.,1
2253,J. H. Schenck,1
2254,James Hall Nasmyth,1
2255,James Carpenter,1
2256,John B. Scholl,1
2257,Joanne Dugan,1
2259,Mervyn Herbert Nevil Story-Maskelyne,1
2260,Edward King Tenison,1
2261,Camino,1
2262,Emilio Beauchy,1
2263,Charles Clifford,1
2264,Juan Laurent y Cia,2
2265,Timothy Greenfield-Sanders,1
2266,Wolf von dem Bussche,1
2267,Leo Seltzer,1
2268,Lee D. Witkin,1
2269,Russell-Morgan Print,2
2270,Eastman Kodak Company,2
2271,Henry Frederick Van der Weyde,1
2272,William Henry Tipton,1
2273,Thomas Richard Williams,1
2275,Alexander J. Copelin,1
2278,James Casebere,1
2279,New York Zoological Society,2
2280,Ann P. Meredith,1
2281,J. Hermanovitch,1
2282,Giacomo Brogi,1
2283,C. Hodcend,1
2284,L. P.,2
2285,N. D. Phot.,2
2286,Ferdinando Ongania,1
2287,Carlo Ponti,1
2289,Charles Pollock,1
2290,Jacob Siler,1
2291,Charles E. Bolles,1
2292,William E. Daugherty,1
2293,Louis E. Hirschy,1
2294,M. H. Birge & Sons,2
2295,Villroy L. Richardson,1
2297,William Y. Beach,1
2298,Steve Hoffman,1
2299,Josef Sudek,1
2300,Samuel W. Vandivert,1
2302,Laurence Syter,1
2303,Elizabeth Buehrmann,1
2304,Dr. Charles Henry Breed,1
2307,Putnam & Valentine,2
2308,J. W. Wulff Jeune,1
2309,Cranmer C. Langill,1
2312,Theodore J. Kerlin,1
2313,Rensselaer Emmett Churchill,1
2316,Armand Hippolyte Louis Fizeau,1
2319,O. L. Deming,1
2320,Morris Huberland,1
2321,Anita M. Beer,1
2324,Karl Blossfeldt,1
2325,Robert Giard,1
2327,László Moholy-Nagy,1
2329,Duffus Bros.,2
2331,Mathew B. Brady,1
2332,Arezoo Moseni,1
2333,Edward Schwartz,1
2334,Carleton Eugene Watkins,1
2335,Charles Leander Weed,1
2336,Ken Light,1
2338,Sir Cecil Beaton,1
2339,Eugène Pirou,1
2340,Alfred Eisenstaedt,1
2341,United States. Works Progress Administration,2
2342,Charles Delevan Mosher,1
2343,William J. Root,1
2344,Frances Benjamin Johnston,1
2345,Michael Torosian,1
2346,Jean Locey,1
2350,Joseph H. Ladd,1
2362,Pierre Louÿs,1
2364,Yousuf Karsh,1
2365,Rosie Mackewicz,1
2366,Arthur Sinsabaugh,1
2367,Carl Ray Woodring,1
2368,William Edward Friese-Greene,1
2369,Robert C. Price,1
2370,Jerry Dantzic,1
2371,Maury Englander,1
2372,Joseph R. Goldberg,1
2373,Joan Liftin,1
2374,John Messina,1
2375,Beverly Nadelman,1
2376,Susan S. Perry,1
2377,Nancy Rudolph,1
2379,Ethel Virga,1
2380,Barbra Walz,1
2381,Marke Daryl Webb,1
2382,Ezra Stoller,1
2383,Victor Prevost,1
2384,Carlo Naya,1
2385,Thomas William Leonard,1
2386,The Notman Photographic Co.,2
2387,Larry Clark,1
2388,Alan Pogue,1
2389,Anne Hemminger,1
2390,Emery P. Révés-Biró,1
2391,Walter Henry Horne,1
2392,John A. Pack,1
2393,C. L. Howe & Son,2
2394,Albany Art Union,2
2395,Larry Racioppo,1
2396,John Y. Robinson,1
2397,Mike Mandel,1
2399,Herbert Rose Barraud,1
2400,Ralph Gibson,1
2401,Paul McCarthy,1
2402,Betty Tompkins,1
2403,John Milisenda,1
2404,Ralph Eugene Meatyard,1
2405,Danny Lyon,1
2406,Roy Colmer,1
2407,Scott Thomas Heiser,1
2408,Michele Mang,1
2409,Lieut. C. D. Kennedy,1
2410,Rufus W. Holsinger,1
2411,Michael Bernstein,1
2412,Lynn Geesaman,1
2414,Sara Yagi,1
2415,Elias Olcott Beaman,1
2417,James Valentine,1
2418,Edward F. Foley,1
2419,Lock & Whitfield,2
2420,Edward Livingston Wilson,1
2422,Photographische Gesellschaft [Berlin, Germany],2
2423,M. James,1
2424,Gita Lenz,1
2425,Isaac Kassoy,1
2426,George Norman Barnard,1
2427,Jon Henry,1
2428,Scott Tugel,1
2429,Russell Lee,1
2431,David G. Noble,1
2433,Jonathan Torgovnik,1
2434,Kassian Cephas,1
2435,O. Kurkdjan,1
2436,O. Hisgen & Co.,2
2437,Handel Maatschappy,1
2438,Bond Brothers,2
2441,R. Sylvan Wallace,2
2442,M. Glover,1
2444,Richard Gordon,1
2446,Bert G. Covell,1
2447,Milton Ernest Ebie,1
2448,William Eugene Irons,1
2449,George Barker,1
2450,Barry Brukoff,1
2451,Herb McLaughlin,1
2452,George Holz,1
2453,John Collins Warren,1
2456,Courret Hermanos,2
2457,Joseph Fagnani,1
2458,Gaëtan Viaris de Lesegno,1
2459,Frank Meadow Sutcliffe,1
2460,Beverly Brown,1
2461,J. Adamson & Son,2
2464,Mrs. N. Gray Bartlett,1
2465,Hagler & White,2
2467,Frederick Richard Dapprich,1
2469,Terence Koh,1
2470,Donald Baechler,1
2472,Bruce Bennett,1
2474,Philander H. Kellogg,1
2475,Edward A. G. Smith,1
2476,James Russell & Sons,2
2477,Frank Starke,1
2478,C. H. Howe,1
2479,Nadar,1
2480,Joseph M. Appleton,1
2481,Valleto y Cia,2
2482,Eugenio Courret,1
2483,Carlos Vasques,1
2484,Alfred Weidener,1
2485,John P. Nicholas & Co.,2
2486,Weegee,1
2487,William J. Hillman,1
2488,Eliot Furness Porter,1
2489,Franco Fontana,1
2490,Peter Innisfree Moore,1
2491,Diane Arbus,1
2492,Georges Piette,1
2493,Alma R. Lavenson,1
2494,David M. Grossman,1
2495,Diane Witlin,1
2496,Ray Witlin,1
2497,Harvey Horowitz,1
2498,William Clift,1
2499,Jerry L. Thompson,1
2500,Denny Denfield,1
2501,Theodore Endean,1
2502,William M. Morrison,1
2503,William H. Rau,1
2504,Robert Gambee,1
2505,Liberian Art Publishing Company,2
2506,Souvenir Photo. Co.,2
2507,Beaumont Newhall,1
2508,Maxime Du Camp,1
2509,Robert Disraeli,1
2510,Ben Heller,1
2511,Roy Perry,1
2512,Walt Sander,1
2513,Ben Schnall,1
2514,Lee Sievan,1
2516,L. G. Brockman,1
2517,J. Goux,1
2518,Herman W. Fechner,1
2519,Budd Studio,2
2520,André Roosevelt,1
2522,Cincinnati Art Foundry,2
2523,Bernard G. Silberstein,1
2524,Joseph Parkin Mayall,1
2525,Martin S. Zuckermann,1
2527,Dr. Joseph Janvier Woodward,1
2528,Abe Frajndlich,1
2529,Ruth Orkin,1
2530,Étienne Neurdein,1
2531,Piloty & Loehle,2
2532,Gustav Schauer,1
2533,Knaffl & Bro.,2
2534,Emilie Bieber,1
2535,George F. Edwards,1
2536,Frank Henry Farley,1
2537,Liv Kristin Robinson,1
2538,Arthur Percy Fitt,1
2540,Kathryn Marx,1
2541,Charles Linn,1
2542,Wade Zimmerman,1
2543,Joseph Caputo,1
2544,Robert Capa,1
2545,John M. Dietz,1
2547,Baron Raimond von Stillfried-Rathenitz,1
2548,See Tay,1
2549,Thomas Child,1
2550,Manrique & Cia,2
