1820,E. Percy Olive,American
1822,Herman Oliver Albrecht,American
1824,Frank Albert Rinehart,American
1825,Antony,Belgian
1826,Felix A. Raymer,American
1827,Harry Morey Callahan,American
1828,Paul Caponigro,American
1829,Lucien Clergue,French
1830,Linda Connor,American
1831,Joe Deal,American
1832,Robert Doisneau,French
1833,Barbara Drucker,American
1834,Wilton S. Tifft,American
1835,Margaretta K. Mitchell,American
1836,Claude-Joseph-Désiré Charnay,French
1837,Ellen McMahon,American
1838,Susan Wides,American
1840,Elgin R. Shepard,American
1844,Adolphe Braun,French
1846,Edward Sheriff Curtis,American
1847,Dinanda H. Nooney,American
1848,Rosalie Gwathmey,American
1849,Brady's National Portrait Gallery,American
1850,Friedrich Bruckmann,German
1852,Collection Classique,NULL
1853,Franz Seraph Hanfstaengl,German
1856,Charles Jacotin,French
1857,George Kirchner & Co.,American
1858,Chester A. Lawrence,American
1859,Librairie Nilsson,French
1860,William Luks,English
1861,M. F. Phillips,American
1862,Charles L. Ritzmann,American
1863,E. H. Schroeder,German
1864,Stereoscopic Company, Ltd.,English
1865,Sophus Williams,German
1866,Ziégler & Cie,French
1867,Joseph J. Ciarlo,American
1868,N. E. Maceo y Hno.,Cuban
1870,Andrea Modica,American
1871,John Burton & Sons,English
1872,Elliott & Fry,English
1873,George & Rebecca Lavis,English
1874,Burton Berinsky,American
1875,Héctor Rondón Lovera,Venezuelan
1876,David Hume Kennerly,American
1877,Goodwin & Co. [New York, NY],American
1879,James Edward Purdy,American
1881,Charles H. James,American
1882,George Louis Patterson,NULL
1883,William Emmet Patterson,NULL
1885,Dimmers' Photo Studio,American
1887,Charles Pratt,American
1888,Daniel Libens,Belgian
1889,Smith [New Haven, CT)],American
1890,Alexandre Bougault Sr.,French
1891,Kay Simmon Blumberg,American
1892,Michael Wayne Meads,American
1893,Flavia Robinson,American
1895,Felice Beato,Italian
1896,William Pryor Floyd,British
1897,Lenke Szilagyi,Hungarian
1898,Imre Benko,Hungarian
1899,Jessie Tarbox Beals,American
1900,John George Brill,American
1901,Joel Peter Sternfeld,American
1902,Karin Székessy,German
1903,Friedrich Pustet,German
1904,Ernest C. Youens,English
1908,Leopold Harzé,Belgian
1911,Paula Wright,American
1912,Germaine Kellerman,French
1913,William Howard Case,American
1914,Alfred Horsley Hinton,English
1916,Shawn Walker,American
1919,Margalit Mannor,Israeli
1920,Römmler & Jonas,German
1923,Oscar Krämer,Austrian
1925,Jack A. Partington,American
1926,David Scheinbaum,American
1928,David Vestal,American
1929,Walker Evans,American
1930,Eadweard James Muybridge,American
1931,Marianne Engberg,American
1932,John Goodman,American
1933,John C. Taylor,American
1934,John Noone,Australian
1936,A. C. Champagne,French
1937,William L. Bates,American
1938,Chaplain Thomas J. Dickson,American
1939,Clarence Kennedy,American
1940,Frederick Gutekunst,American
1941,Helen Levitt,American
1942,Gordon B. Church,American
1943,Lorna Bieber,American
1944,Gene Bagnato,American
1946,Jonathan Allen,British
1947,Bradley & Rulofson,American
1949,Joseph Gaylord Gessford,American
1950,Marguerite W. Stoddard,American
1951,Headley & Reed,American
1952,E. G. Clements,American
1953,Newsboy,American
1954,Century Association [New York, N.Y.],American
1955,Lewis Morris Rutherfurd,American
